,user_id,age,gender,education_level,country,test_run_id,battery_id,time_of_day,subtest_27,subtest_28,subtest_29,subtest_30,subtest_32,subtest_33,subtest_36,subtest_37,subtest_38,subtest_39,subtest_40,model_A_scores,model_B_scores,model_C_scores,Model_C_probabilities,Model_C_label,Model_A_probabilities,Model_A_label,Model_B_probabilities,Model_B_label
340,32132158,35.0,m,Some college,US,323746,26,12,0.888888888888889,0.6666666666666665,0.6,0.4761904761904761,0.7555970149253731,0.2857142857142856,0.7272727272727273,0.8181818181818182,1.0,0.9651162790697674,0.9315789473684212,0.7451039661793193,0.7564170974924507,0.7984455913866161,0.0080383810691869,0,0.0067657456171993,1,0.0,0
341,38884125,71.0,f,College degree,US,426998,26,15,0.7777777777777778,0.3333333333333332,0.5666666666666667,0.3333333333333333,0.666044776119403,0.2857142857142856,0.9090909090909092,0.9090909090909092,0.6029411764705883,0.9302325581395348,0.8473684210526315,0.6610933703730215,0.7558408451204963,0.6460016720021309,0.0,0,0.0,0,0.0,0
342,38471824,47.0,f,Master's degree,US,444432,26,20,0.6666666666666666,0.6666666666666665,0.7,0.7619047619047619,0.7611940298507462,0.2857142857142856,0.9090909090909092,0.6363636363636364,0.8088235294117647,0.9360465116279068,0.9052631578947368,0.7196649833905419,0.7554225591481175,0.7603351619097107,0.0027357333525719,0,0.0027357333525719,1,0.0,0
343,38955203,59.0,m,Associate's degree,US,680445,26,13,0.5555555555555555,0.6666666666666665,0.6,0.4285714285714285,0.7742537313432836,0.2857142857142856,0.9090909090909092,0.8181818181818182,0.6176470588235294,0.9360465116279068,0.8210526315789474,0.6409757850208181,0.7553192193642525,0.6882448319430696,0.0,0,0.0,0,0.0,0
344,33416281,23.0,m,Some college,US,101958,26,10,0.7777777777777778,0.3333333333333332,0.5333333333333333,0.6190476190476191,0.8470149253731344,0.4285714285714285,0.8181818181818182,0.8181818181818182,0.661764705882353,0.941860465116279,0.9578947368421052,0.6900791650906568,0.7551296701411618,0.729612869119532,0.0,0,0.0,0,0.0,0
345,7783749,24.0,f,College degree,CA,495119,26,22,0.6666666666666666,0.3333333333333332,0.4,0.4761904761904761,0.4626865671641791,0.2857142857142856,1.0,0.8181818181818182,0.7794117647058824,0.9534883720930232,0.9105263157894736,0.6046339731142976,0.754937003417328,0.6397203061549765,0.0,0,0.0,0,0.0,0
346,35496227,57.0,m,Master's degree,US,24625,26,21,0.888888888888889,0.5,0.3666666666666667,0.3333333333333333,0.7817164179104478,0.2857142857142856,0.9090909090909092,0.8181818181818182,0.6323529411764707,0.9651162790697674,0.9473684210526316,0.6604267631549973,0.7547701974984317,0.6921295238612699,0.0,0,0.0,0,0.0,0
347,26089753,33.0,m,College degree,US,497565,26,20,0.7777777777777778,0.3333333333333332,0.7333333333333334,0.5238095238095237,0.8880597014925373,0.2857142857142856,0.8181818181818182,0.8181818181818182,0.7941176470588236,0.9244186046511628,0.9052631578947368,0.7294885086112178,0.7545390136617228,0.7637017560992678,0.0029478392612365,1,0.0044325806218887,1,0.0,0
348,14637571,50.0,m,Master's degree,US,713577,26,7,0.888888888888889,0.6666666666666665,0.6666666666666666,0.4285714285714285,0.6697761194029851,0.5714285714285714,0.8181818181818182,0.7272727272727273,0.661764705882353,0.9534883720930232,0.9578947368421052,0.7563667684009953,0.7543465663807932,0.7115638223469518,0.0,0,0.0083918909169612,1,0.0,0
349,21710699,50.0,f,College degree,US,336626,26,22,0.6666666666666666,0.6666666666666665,0.5333333333333333,0.3333333333333333,0.6417910447761194,0.2857142857142856,0.9090909090909092,0.8181818181818182,0.6764705882352942,0.9360465116279068,0.9210526315789472,0.6487025573217782,0.7541571027763238,0.672354883924061,0.0,0,0.0,0,0.0,0
350,28137231,52.0,f,Some college,US,220368,26,14,0.888888888888889,0.6666666666666665,0.6333333333333333,0.4761904761904761,0.789179104477612,0.2857142857142856,0.8181818181818182,0.7272727272727273,0.8382352941176471,0.9767441860465116,0.9578947368421052,0.7493996497242985,0.7540461143707632,0.770438084998906,0.0045032825914436,1,0.0074727653127479,1,0.0,0
351,10788164,28.0,m,Associate's degree,US,512593,26,16,0.7777777777777778,0.8333333333333333,0.6666666666666666,0.4285714285714285,0.8451492537313433,0.2857142857142856,0.9090909090909092,0.6363636363636364,0.7647058823529412,0.9593023255813952,0.9315789473684212,0.7337828652236066,0.7539848854256267,0.7668650035515746,0.00372556092634,0,0.0054224081956568,1,0.0,0
